iter	Passed	Remaining
447	1091	1344
448	1092	1341
449	1094	1337
450	1096	1334
451	1097	1331
452	1099	1327
453	1101	1324
454	1102	1321
455	1104	1317
456	1106	1314
457	1107	1311
458	1109	1307
459	1111	1304
460	1112	1301
461	1114	1298
462	1117	1295
463	1118	1292
464	1120	1289
465	1122	1286
466	1123	1282
467	1125	1279
468	1127	1276
469	1129	1273
470	1131	1270
471	1133	1267
472	1135	1264
473	1137	1261
474	1138	1258
475	1140	1255
476	1142	1252
477	1143	1249
478	1145	1246
479	1147	1242
480	1148	1239
481	1150	1236
482	1152	1233
483	1154	1230
484	1155	1227
485	1157	1224
486	1159	1221
487	1161	1218
488	1162	1215
489	1164	1212
490	1166	1209
491	1167	1205
492	1169	1202
493	1171	1199
494	1173	1196
495	1174	1193
496	1176	1190
497	1178	1187
498	1179	1184
499	1181	1181
500	1183	1178
501	1184	1175
502	1187	1172
503	1188	1169
504	1190	1167
505	1192	1164
506	1193	1160
507	1195	1157
508	1197	1154
509	1199	1152
510	1200	1149
511	1202	1146
512	1204	1143
513	1206	1140
514	1207	1137
515	1209	1134
516	1211	1131
517	1212	1128
518	1214	1125
519	1215	1122
520	1217	1119
521	1219	1116
522	1221	1113
523	1222	1110
524	1224	1107
525	1226	1104
526	1227	1102
527	1229	1099
528	1231	1096
529	1233	1093
530	1235	1090
531	1236	1087
532	1238	1085
533	1240	1082
534	1242	1079
535	1244	1077
536	1246	1074
537	1248	1071
538	1249	1068
539	1251	1066
540	1253	1063
541	1254	1060
542	1256	1057
543	1258	1055
544	1260	1052
545	1261	1049
546	1263	1046
547	1265	1043
548	1266	1040
549	1268	1037
550	1270	1034
551	1271	1032
552	1273	1029
553	1274	1026
554	1276	1023
555	1278	1020
556	1279	1017
557	1281	1014
558	1282	1012
559	1284	1009
560	1286	1006
561	1287	1003
562	1289	1001
563	1291	998
564	1293	995
565	1294	992
566	1296	989
567	1298	987
568	1299	984
569	1301	981
570	1302	978
571	1304	976
572	1306	973
573	1307	970
574	1309	968
575	1311	965
576	1313	962
577	1314	960
578	1316	957
579	1318	954
580	1320	952
581	1321	949
582	1323	946
583	1325	943
584	1326	941
585	1328	938
586	1330	935
587	1331	933
588	1333	930
589	1335	927
590	1337	925
591	1338	922
592	1340	919
593	1341	917
594	1343	914
595	1345	911
596	1347	909
597	1348	906
598	1350	903
599	1351	901
600	1353	898
601	1355	896
602	1356	893
603	1358	890
604	1360	888
605	1361	885
606	1363	882
607	1365	880
608	1366	877
609	1368	874
610	1370	872
611	1371	869
612	1373	867
613	1375	864
614	1376	861
615	1378	859
616	1380	856
617	1382	854
618	1384	851
619	1385	849
620	1387	846
621	1389	844
622	1391	841
623	1392	839
624	1394	836
625	1395	834
626	1397	831
627	1399	828
628	1400	826
629	1402	823
630	1404	821
631	1405	818
632	1407	816
633	1409	813
634	1412	811
635	1414	809
636	1416	807
637	1418	805
638	1421	802
639	1423	800
640	1425	798
641	1427	795
642	1429	793
643	1431	791
644	1433	788
645	1435	786
646	1436	783
647	1438	781
648	1440	779
649	1442	776
650	1444	774
651	1445	771
652	1447	769
653	1449	766
654	1451	764
655	1453	762
656	1455	759
657	1457	757
658	1458	754
659	1460	752
660	1462	750
661	1464	747
662	1466	745
663	1468	743
664	1470	740
665	1472	738
666	1474	735
667	1475	733
668	1477	731
669	1479	728
670	1481	726
671	1483	724
672	1485	721
673	1487	719
674	1488	716
675	1490	714
676	1492	712
677	1494	709
678	1497	707
679	1499	705
680	1501	703
681	1503	700
682	1505	698
683	1507	696
684	1508	693
685	1510	691
686	1512	689
687	1514	686
688	1516	684
689	1518	682
690	1520	679
691	1521	677
692	1523	674
693	1525	672
694	1527	670
695	1528	667
696	1530	665
697	1532	663
698	1534	660
699	1536	658
700	1537	655
701	1539	653
702	1541	651
703	1543	648
704	1544	646
705	1546	643
706	1548	641
707	1549	639
708	1551	636
709	1553	634
710	1555	632
711	1557	629
712	1559	627
713	1560	625
714	1562	622
715	1564	620
716	1566	618
717	1568	615
718	1570	613
719	1572	611
720	1573	609
721	1575	606
722	1577	604
723	1579	602
724	1581	599
725	1582	597
726	1584	595
727	1586	592
728	1588	590
729	1589	588
730	1591	585
731	1593	583
732	1595	581
733	1597	578
734	1598	576
735	1600	574
736	1602	571
737	1603	569
738	1605	567
739	1607	564
740	1609	562
741	1611	560
742	1612	557
743	1614	555
744	1616	553
745	1617	550
746	1619	548
747	1621	546
748	1623	544
749	1625	541
750	1626	539
751	1628	537
752	1630	534
753	1631	532
754	1633	530
755	1635	527
756	1637	525
757	1639	523
758	1640	520
759	1642	518
760	1644	516
761	1645	514
762	1647	511
763	1649	509
764	1651	507
765	1653	505
766	1655	502
767	1656	500
768	1658	498
769	1660	496
770	1662	493
771	1664	491
772	1666	489
773	1668	487
774	1670	484
775	1672	482
776	1673	480
777	1675	478
778	1677	475
779	1679	473
780	1681	471
781	1682	469
782	1684	466
783	1686	464
784	1688	462
785	1690	460
786	1691	457
787	1694	455
788	1695	453
789	1697	451
790	1699	448
791	1701	446
792	1703	444
793	1705	442
794	1707	440
795	1708	437
796	1710	435
797	1712	433
798	1713	431
799	1715	428
800	1717	426
801	1718	424
802	1720	422
803	1722	419
804	1723	417
805	1725	415
806	1726	413
807	1728	410
808	1730	408
809	1732	406
810	1734	404
811	1736	401
812	1737	399
813	1739	397
814	1741	395
815	1743	393
816	1745	390
817	1746	388
818	1748	386
819	1750	384
820	1751	381
821	1753	379
822	1755	377
823	1757	375
824	1759	373
825	1760	370
826	1762	368
827	1764	366
828	1766	364
829	1767	362
830	1769	359
831	1771	357
832	1773	355
833	1775	353
834	1777	351
835	1778	348
836	1781	346
837	1782	344
838	1784	342
839	1786	340
840	1788	338
841	1790	335
842	1792	333
843	1794	331
844	1795	329
845	1797	327
846	1799	325
847	1801	322
848	1802	320
849	1804	318
850	1806	316
851	1808	314
852	1810	311
853	1811	309
854	1813	307
855	1816	305
856	1818	303
857	1820	301
858	1822	299
859	1824	296
860	1825	294
861	1827	292
862	1829	290
863	1831	288
864	1833	286
865	1835	284
866	1837	281
867	1839	279
868	1842	277
869	1844	275
870	1845	273
871	1847	271
872	1849	269
873	1851	266
874	1853	264
875	1855	262
876	1857	260
877	1859	258
878	1861	256
879	1863	254
880	1865	251
881	1867	249
882	1869	247
883	1871	245
884	1873	243
885	1875	241
886	1877	239
887	1879	237
888	1881	234
889	1884	232
890	1886	230
891	1888	228
892	1890	226
893	1892	224
894	1893	222
895	1895	220
896	1897	217
897	1899	215
898	1900	213
899	1902	211
900	1904	209
901	1905	207
902	1907	204
903	1908	202
904	1910	200
905	1912	198
906	1914	196
907	1915	194
908	1917	191
909	1918	189
910	1920	187
911	1921	185
912	1923	183
913	1925	181
914	1927	179
915	1929	176
916	1930	174
917	1932	172
918	1933	170
919	1935	168
920	1937	166
921	1939	164
922	1940	161
923	1942	159
924	1944	157
925	1945	155
926	1947	153
927	1949	151
928	1950	149
929	1952	146
930	1954	144
931	1955	142
932	1957	140
933	1959	138
934	1960	136
935	1962	134
936	1964	132
937	1965	129
938	1967	127
939	1969	125
940	1970	123
941	1972	121
942	1974	119
943	1975	117
944	1977	115
945	1979	113
946	1981	110
947	1983	108
948	1985	106
949	1986	104
950	1988	102
951	1990	100
952	1991	98
953	1993	96
954	1995	94
955	1997	91
956	1998	89
957	2000	87
958	2001	85
959	2003	83
960	2005	81
961	2007	79
962	2008	77
963	2010	75
964	2012	72
965	2013	70
966	2015	68
967	2017	66
968	2019	64
969	2020	62
970	2022	60
971	2024	58
972	2025	56
973	2027	54
974	2028	52
975	2030	49
976	2032	47
977	2033	45
978	2035	43
979	2037	41
980	2038	39
981	2040	37
982	2041	35
983	2043	33
984	2045	31
985	2046	29
986	2048	26
987	2050	24
988	2052	22
989	2054	20
990	2055	18
991	2057	16
992	2058	14
993	2060	12
994	2062	10
995	2063	8
996	2065	6
997	2067	4
998	2068	2
999	2070	0
