[2024-10-08 00:13:24,948] 97 werkzeug - WARNING -  * Debugger is active!
[2024-10-08 00:13:26,384] 97 werkzeug - INFO -  * Debugger PIN: 143-496-523
[2024-10-08 00:13:37,883] 97 werkzeug - INFO - 127.0.0.1 - - [08/Oct/2024 00:13:37] "GET / HTTP/1.1" 200 -
[2024-10-08 00:13:43,724] 97 werkzeug - INFO - 127.0.0.1 - - [08/Oct/2024 00:13:43] "GET /predictdata HTTP/1.1" 200 -
[2024-10-08 00:14:01,407] 97 werkzeug - INFO - 127.0.0.1 - - [08/Oct/2024 00:14:01] "[35m[1mPOST /predictdata HTTP/1.1[0m" 500 -
[2024-10-08 00:14:01,681] 97 werkzeug - INFO - 127.0.0.1 - - [08/Oct/2024 00:14:01] "GET /predictdata?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[2024-10-08 00:14:01,724] 97 werkzeug - INFO - 127.0.0.1 - - [08/Oct/2024 00:14:01] "GET /predictdata?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[2024-10-08 00:14:01,808] 97 werkzeug - INFO - 127.0.0.1 - - [08/Oct/2024 00:14:01] "GET /predictdata?__debugger__=yes&cmd=resource&f=console.png&s=ORvlXb0fsccKGJut1tGd HTTP/1.1" 200 -
[2024-10-08 00:14:01,837] 97 werkzeug - INFO - 127.0.0.1 - - [08/Oct/2024 00:14:01] "GET /predictdata?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
